Name,Value,Start,Size,Color,Comment
struct PNG_SIGNATURE sig,,0h,8h,Fg: Bg:0xFFE0FF,
uint16 btPngSignature[4],,0h,8h,Fg: Bg:0xFFE0FF,
uint16 btPngSignature[0],8950h,0h,2h,Fg: Bg:0xFFE0FF,
uint16 btPngSignature[1],4E47h,2h,2h,Fg: Bg:0xFFE0FF,
uint16 btPngSignature[2],D0Ah,4h,2h,Fg: Bg:0xFFE0FF,
uint16 btPngSignature[3],1A0Ah,6h,2h,Fg: Bg:0xFFE0FF,
struct PNG_CHUNK chunk[0],"IHDR  (Critical, Public, Unsafe to Copy)",8h,19h,Fg: Bg:0xE0E0E0,
uint32 length,13,8h,4h,Fg: Bg:0xE0E0E0,
union CTYPE type,IHDR,Ch,4h,Fg:0x800000 Bg:0xE0E0E0,
uint32 ctype,49484452h,Ch,4h,Fg:0x800000 Bg:0xE0E0E0,
char cname[4],IHDR,Ch,4h,Fg:0x800000 Bg:0xE0E0E0,
char cname[0],73 'I',Ch,1h,Fg:0x800000 Bg:0xE0E0E0,
char cname[1],72 'H',Dh,1h,Fg:0x800000 Bg:0xE0E0E0,
char cname[2],68 'D',Eh,1h,Fg:0x800000 Bg:0xE0E0E0,
char cname[3],82 'R',Fh,1h,Fg:0x800000 Bg:0xE0E0E0,
struct PNG_CHUNK_IHDR ihdr,480 x 212 (x8),10h,Dh,Fg: Bg:0xE0E0E0,
uint32 width,480,10h,4h,Fg: Bg:0xE0E0E0,
uint32 height,212,14h,4h,Fg: Bg:0xE0E0E0,
ubyte bits,8,18h,1h,Fg: Bg:0xE0E0E0,
enum PNG_COLOR_SPACE_TYPE color_type,TrueColor (2),19h,1h,Fg: Bg:0xE0E0E0,
enum PNG_COMPR_METHOD compr_method,Deflate (0),1Ah,1h,Fg: Bg:0xE0E0E0,
enum PNG_FILTER_METHOD filter_method,AdaptiveFiltering (0),1Bh,1h,Fg: Bg:0xE0E0E0,
enum PNG_INTERLACE_METHOD interlace_method,NoInterlace (0),1Ch,1h,Fg: Bg:0xE0E0E0,
uint32 crc,CB2A67CDh,1Dh,4h,Fg:0x800080 Bg:0xE0E0E0,
struct PNG_CHUNK chunk[1],"pHYs  (Ancillary, Public, Safe to Copy)",21h,15h,Fg: Bg:,
uint32 length,9,21h,4h,Fg: Bg:,
union CTYPE type,pHYs,25h,4h,Fg:0x800000 Bg:,
struct PNG_CHUNK_PHYS phys,,29h,9h,Fg: Bg:,
uint32 crc,6ED0753Eh,32h,4h,Fg:0x800080 Bg:,
struct PNG_CHUNK chunk[2],"IDAT  (Critical, Public, Unsafe to Copy)",36h,200Ch,Fg: Bg:0xE0E0E0,
struct PNG_CHUNK chunk[3],"IDAT  (Critical, Public, Unsafe to Copy)",2042h,200Ch,Fg: Bg:,
struct PNG_CHUNK chunk[4],"IDAT  (Critical, Public, Unsafe to Copy)",404Eh,200Ch,Fg: Bg:0xE0E0E0,
struct PNG_CHUNK chunk[5],"IDAT  (Critical, Public, Unsafe to Copy)",605Ah,200Ch,Fg: Bg:,
struct PNG_CHUNK chunk[6],"IDAT  (Critical, Public, Unsafe to Copy)",8066h,200Ch,Fg: Bg:0xE0E0E0,
struct PNG_CHUNK chunk[7],"IDAT  (Critical, Public, Unsafe to Copy)",A072h,200Ch,Fg: Bg:,
struct PNG_CHUNK chunk[8],"IDAT  (Critical, Public, Unsafe to Copy)",C07Eh,200Ch,Fg: Bg:0xE0E0E0,
struct PNG_CHUNK chunk[9],"IDAT  (Critical, Public, Unsafe to Copy)",E08Ah,200Ch,Fg: Bg:,
struct PNG_CHUNK chunk[10],"IDAT  (Critical, Public, Unsafe to Copy)",10096h,200Ch,Fg: Bg:0xE0E0E0,
struct PNG_CHUNK chunk[11],"IDAT  (Critical, Public, Unsafe to Copy)",120A2h,200Ch,Fg: Bg:,
struct PNG_CHUNK chunk[12],"IDAT  (Critical, Public, Unsafe to Copy)",140AEh,200Ch,Fg: Bg:0xE0E0E0,
struct PNG_CHUNK chunk[13],"IDAT  (Critical, Public, Unsafe to Copy)",160BAh,200Ch,Fg: Bg:,
struct PNG_CHUNK chunk[14],"IDAT  (Critical, Public, Unsafe to Copy)",180C6h,200Ch,Fg: Bg:0xE0E0E0,
struct PNG_CHUNK chunk[15],"IDAT  (Critical, Public, Unsafe to Copy)",1A0D2h,200Ch,Fg: Bg:,
struct PNG_CHUNK chunk[16],"IDAT  (Critical, Public, Unsafe to Copy)",1C0DEh,200Ch,Fg: Bg:0xE0E0E0,
struct PNG_CHUNK chunk[17],"IDAT  (Critical, Public, Unsafe to Copy)",1E0EAh,200Ch,Fg: Bg:,
struct PNG_CHUNK chunk[18],"IDAT  (Critical, Public, Unsafe to Copy)",200F6h,200Ch,Fg: Bg:0xE0E0E0,
struct PNG_CHUNK chunk[19],"IDAT  (Critical, Public, Unsafe to Copy)",22102h,200Ch,Fg: Bg:,
struct PNG_CHUNK chunk[20],"IDAT  (Critical, Public, Unsafe to Copy)",2410Eh,200Ch,Fg: Bg:0xE0E0E0,
struct PNG_CHUNK chunk[21],"IDAT  (Critical, Public, Unsafe to Copy)",2611Ah,200Ch,Fg: Bg:,
struct PNG_CHUNK chunk[22],"IDAT  (Critical, Public, Unsafe to Copy)",28126h,200Ch,Fg: Bg:0xE0E0E0,
struct PNG_CHUNK chunk[23],"IDAT  (Critical, Public, Unsafe to Copy)",2A132h,200Ch,Fg: Bg:,
struct PNG_CHUNK chunk[24],"IDAT  (Critical, Public, Unsafe to Copy)",2C13Eh,200Ch,Fg: Bg:0xE0E0E0,
struct PNG_CHUNK chunk[25],"IDAT  (Critical, Public, Unsafe to Copy)",2E14Ah,200Ch,Fg: Bg:,
struct PNG_CHUNK chunk[26],"IDAT  (Critical, Public, Unsafe to Copy)",30156h,200Ch,Fg: Bg:0xE0E0E0,
struct PNG_CHUNK chunk[27],"IDAT  (Critical, Public, Unsafe to Copy)",32162h,9F5h,Fg: Bg:,
struct PNG_CHUNK chunk[28],"IEND  (Critical, Public, Unsafe to Copy)",32B57h,Ch,Fg: Bg:0xE0E0E0,
uint32 length,0,32B57h,4h,Fg: Bg:0xE0E0E0,
union CTYPE type,IEND,32B5Bh,4h,Fg:0x800000 Bg:0xE0E0E0,
uint32 crc,AE426082h,32B5Fh,4h,Fg:0x800080 Bg:0xE0E0E0,
